prefecture_code,port_code,prefecture_name,port_name
0,1,千島列島,小泊
0,2,千島列島,中川湾
0,3,千島列島,片岡湾
0,4,千島列島,阿頼度島
0,5,千島列島,磐城埼
0,6,千島列島,加熊別湾
0,7,千島列島,鯨湾
0,8,千島列島,四岩
0,9,千島列島,乙前湾
0,10,千島列島,樺里埼
0,11,千島列島,潮見浦
0,12,千島列島,黒石湾
0,13,千島列島,春牟古丹島
0,14,千島列島,乙女湾
0,15,千島列島,東浦
0,16,千島列島,松輪島
0,17,千島列島,宇志知島
0,18,千島列島,武魯頓湾
0,19,千島列島,新知湾
0,20,千島列島,沙湾
0,21,千島列島,鐘湾
0,22,千島列島,床丹島
0,23,千島列島,吉野浜
0,24,千島列島,伽藍埼
1,1,北海道,蘂取
1,2,北海道,紗万部
1,3,北海道,内岡
1,4,北海道,内保湾
1,5,北海道,茂世路湾
1,6,北海道,単冠湾
1,7,北海道,入里節
1,8,北海道,ニキシヨロ
1,9,北海道,古釜府湾
1,10,北海道,泊湾
1,11,北海道,水晶島
1,12,北海道,多楽島
1,13,北海道,斜古丹
1,14,北海道,根室
1,15,北海道,尾岱沼
1,16,北海道,羅臼
1,17,北海道,コイセボイ
1,18,北海道,網走
1,19,北海道,紋別
1,20,北海道,雄武
1,21,北海道,枝幸
1,22,北海道,浜鬼志別
1,23,北海道,宗谷岬
1,24,北海道,稚内
1,25,北海道,抜海
1,26,北海道,鴛泊
1,27,北海道,沓形
1,28,北海道,船泊
1,29,北海道,苫前
1,30,北海道,留萌
1,31,北海道,浜益
1,32,北海道,小樽
1,33,北海道,忍路
1,34,北海道,神威岬
1,35,北海道,岩内
1,36,北海道,寿都
1,37,北海道,瀬棚
1,38,北海道,奥尻
1,39,北海道,青苗
1,40,北海道,江差
1,41,北海道,清部
1,42,北海道,松前
1,43,北海道,吉岡
1,44,北海道,湧元
1,45,北海道,函館
1,46,北海道,汐首岬
1,47,北海道,戸井
1,48,北海道,古武井
1,49,北海道,臼尻
1,50,北海道,森
1,51,北海道,有珠湾
1,52,北海道,室蘭
1,53,北海道,苫小牧
1,54,北海道,東静内
1,55,北海道,三石
1,56,北海道,浦河
1,57,北海道,えりも
1,58,北海道,歌露
